number,directory_num,language_num,file_type,has_test,has_feature,has_bug,has_document,has_improve,has_refactor,subject_length,subject_readability,message_length,message_readability,lines_added,lines_deleted,segs_added,segs_deleted,segs_updated,files_added,files_deleted,files_updated,modify_proportion,modify_entropy,test_churn,non_test_churn,reviewer_num,bot_reviewer_num,has_reviewed,comment_num,comment_length,last_comment_mention,merged,time_to_close
38,0.0009358914365933,0.0,0.0,0,0,0,0,0,0,0.2748091603053435,0.1856711843302523,0.0026614856412849,0.0338231863774201,4.720989519403267e-05,0.0,0.0014691478942213,0.0,0.0007340347443112,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,5.635549043365549e-05,0.1111111111111111,0.0,1,0.1333333333333333,0.0110722338853899,0,1,143856.0
41,0.00140383715489,0.0,0.0,0,0,0,0,0,0,0.3206106870229007,0.1963028590584742,0.0030607084874777,0.0395127838460056,9.441979038806536e-05,0.0001806902367042,0.0029382957884427,0.0029339853300733,0.0029361389772449,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,0.0003099551973851,0.037037037037037,0.0,1,0.0333333333333333,0.0007464427338465,0,1,88602.0
42,0.0182498830135704,0.5,0.0344827586206896,0,0,0,0,0,0,0.2595419847328244,0.1856711843302523,0.0026348707848721,0.4411821381121896,0.0008497781134925,0.0001806902367042,0.004407443682664,0.0039119804400977,0.0041595302177636,0.0495049504950495,0.0,0.0209790209790209,0.0150356292621138,0.9975544807508128,0.0,0.0020569754008284,0.074074074074074,0.0,1,0.0666666666666666,0.005769380297022,0,1,67797.0
43,0.0009358914365933,0.0,0.0,0,0,0,0,0,0,0.2977099236641221,0.1577989559886978,0.0026348707848721,0.4411821381121896,0.0001573663173134,6.023007890140336e-05,0.0004897159647404,0.0004889975550122,0.0004893564962074,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,0.0003099551973851,0.0,0.0,0,0.0,0.0,0,1,77210.0
44,0.0004679457182966,0.0,0.0,0,0,0,0,0,0,0.3740458015267175,0.133183276662995,0.0026348707848721,0.4411821381121896,0.0001888395807761,0.0,0.0014691478942213,0.0,0.0007340347443112,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,0.0003099551973851,0.0,0.0,0,0.0,0.0,0,1,425.0
46,0.0009358914365933,0.5,0.0,0,0,0,0,0,0,0.5419847328244274,0.1413246492026244,0.0072126260878822,0.0481739536110181,0.0008183048500298,0.000602300789014,0.0019588638589618,0.0014669926650366,0.0017127477367262,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,0.0020006199103947,0.0,0.0,0,0.0,0.0,0,1,2143.0
48,0.0051474029012634,0.0,0.0,0,0,0,0,0,0,0.0839694656488549,0.0858196446530338,0.0043914513081201,0.0328799910751412,0.001967078966418,0.0,0.0068560235063663,0.0058679706601466,0.0063616344506973,0.0099009900990099,0.0,0.0069930069930069,0.0114178085506602,0.9974621002817649,0.0,0.0056919045337992,0.074074074074074,0.0,1,0.1,0.0047896742088484,1,1,6234.0
49,0.0046794571829667,0.5,0.0689655172413793,0,0,0,0,0,0,0.2595419847328244,0.1045448014941813,0.0032470124823676,0.065891826654902,0.0003776791615522,0.0,0.0024485798237022,0.0009779951100244,0.0017127477367262,0.0099009900990099,0.0,0.0093240093240093,0.0158950160249711,0.9974720098370746,0.0,0.0007607991208543,0.0,0.0,0,0.0,0.0,0,1,10889.0
51,0.0009358914365933,0.0,0.0,0,0,0,0,0,0,0.3053435114503817,0.2190029213160289,0.003353471908019,0.0372917110374134,1.5736631731344224e-05,3.011503945070168e-05,0.0004897159647404,0.0004889975550122,0.0004893564962074,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,2.817774521682775e-05,0.037037037037037,0.0,1,0.0333333333333333,0.0007153409532695,1,1,87.0
52,0.0126345343940102,0.5,0.1034482758620689,0,0,0,0,0,0,0.1068702290076336,0.1319860159954025,0.0129880499294706,0.0391679597570004,0.0008025682182985,0.0007528759862675,0.004407443682664,0.0034229828850855,0.0039148519696598,0.0099009900990099,0.0,0.0163170163170163,0.0185447918771143,0.9975201922891682,0.0,0.002113330891262,0.0,0.0,0,0.0,0.0,0,1,115.0
53,0.0023397285914833,0.0,0.0,0,0,0,0,0,0,0.1755725190839694,0.1410851970691058,0.0014904319591195,0.0378495147108041,0.0011959840115821,0.0028308137083659,0.0176297747306562,0.01760391198044,0.0176168338634695,0.0,0.0,0.0046620046620046,0.0112579082837205,0.9974460555774116,0.0,0.0078615909154949,0.1111111111111111,0.0,1,0.2666666666666666,0.0279138480678018,0,1,22600.0
55,0.0009358914365933,0.0,0.0,0,0,0,0,0,0,0.2213740458015267,0.1467841578468464,0.0055092752774598,0.0762365493250575,1.5736631731344224e-05,3.011503945070168e-05,0.0004897159647404,0.0004889975550122,0.0004893564962074,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,2.817774521682775e-05,0.0,0.0,0,0.0,0.0,0,1,41.0
